"iteration","module","question_id","definition1","definition2","definition3","definition4","definition5","question","answer","response"
"Spring 2023",1,"eval1_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to define 'science communication'.",2,"1"
"Spring 2023",1,"eval1_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to define 'science communication'.",4,"10"
"Spring 2023",1,"eval1_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to define 'science communication'.",5,"19"
"Spring 2023",1,"eval1_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to identify some of the challenges of communicating about science.",1,"1"
"Spring 2023",1,"eval1_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to identify some of the challenges of communicating about science.",3,"1"
"Spring 2023",1,"eval1_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to identify some of the challenges of communicating about science.",4,"10"
"Spring 2023",1,"eval1_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to identify some of the challenges of communicating about science.",5,"19"
"Spring 2023",1,"eval1_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the importance of identifying target audiences for science communication. ",1,"1"
"Spring 2023",1,"eval1_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the importance of identifying target audiences for science communication. ",2,"1"
"Spring 2023",1,"eval1_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the importance of identifying target audiences for science communication. ",3,"1"
"Spring 2023",1,"eval1_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the importance of identifying target audiences for science communication. ",4,"6"
"Spring 2023",1,"eval1_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the importance of identifying target audiences for science communication. ",5,"22"
"Spring 2023",1,"eval1_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to tailor messages about science that consider the target audience.",1,"1"
"Spring 2023",1,"eval1_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to tailor messages about science that consider the target audience.",3,"3"
"Spring 2023",1,"eval1_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to tailor messages about science that consider the target audience.",4,"13"
"Spring 2023",1,"eval1_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to tailor messages about science that consider the target audience.",5,"14"
"Spring 2023",1,"eval1_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the impact of effective communication about science.",1,"1"
"Spring 2023",1,"eval1_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the impact of effective communication about science.",3,"1"
"Spring 2023",1,"eval1_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the impact of effective communication about science.",4,"6"
"Spring 2023",1,"eval1_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the impact of effective communication about science.",5,"23"
